Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
310,Willi Orban,DF,Hungary,31,1992,3,3,270,3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
311,Mikel Oyarzabal,MF,Spain,26,1997,7,1,201,2.2,1,1,2,1,0,0,0,0,0.45,0.45,0.9,0.45,0.9,Matches
312,Salih Özcan,MF,Türkiye,26,1998,4,2,155,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
313,João Palhinha,MF,Portugal,28,1995,4,4,299,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,Matches
314,Cole Palmer,"FW,MF",England,21,2002,5,0,149,1.7,1,1,2,1,0,0,0,0,0.6,0.6,1.21,0.6,1.21,Matches
315,Mario Pašalić,FW,Croatia,28,1995,3,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
316,Strahinja Pavlović,DF,Serbia,22,2001,3,3,270,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
317,Pedri,MF,Spain,21,2002,4,4,186,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0,0.48,Matches
318,Peter Pekarík,DF,Slovakia,37,1986,4,4,377,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
319,Lorenzo Pellegrini,MF,Italy,27,1996,4,3,218,2.4,0,1,1,0,0,0,1,0,0.0,0.41,0.41,0,0.41,Matches
320,Patrick Pentz,GK,Austria,27,1997,4,4,360,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
321,Pepe,DF,Portugal,40,1983,4,4,408,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
322,Danilo Pereira,DF,Portugal,32,1991,1,1,90,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
323,Ayoze Pérez,"FW,MF",Spain,30,1993,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
324,Ivan Perišić,DF,Croatia,34,1989,3,1,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
325,Bruno Petković,FW,Croatia,29,1994,2,1,87,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,Matches
326,Krzysztof Piątek,FW,Poland,28,1995,1,1,59,0.7,1,0,1,1,0,0,0,0,1.53,0.0,1.53,1.53,1.53,Matches
327,Jordan Pickford,GK,England,29,1994,7,7,690,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
328,Jakub Piotrowski,MF,Poland,26,1997,2,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
329,Marin Pongračić,DF,Croatia,26,1997,2,2,180,2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
330,Ryan Porteous,DF,Scotland,24,1999,1,1,43,0.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,Matches
331,Stefan Posch,DF,Austria,26,1997,4,4,360,4,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0,0.25,Matches
332,Yussuf Poulsen,"FW,MF",Denmark,29,1994,4,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
333,Alexander Prass,DF,Austria,22,2001,4,1,166,1.8,0,1,1,0,0,0,0,0,0.0,0.54,0.54,0,0.54,Matches
334,Lukáš Provod,MF,Czechia,27,1996,3,3,232,2.6,1,0,1,1,0,0,1,0,0.39,0.0,0.39,0.39,0.39,Matches
335,George Pușcaș,FW,Romania,27,1996,2,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
336,Leopold Querfeld,DF,Austria,20,2003,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
337,Adrien Rabiot,MF,France,28,1995,5,5,371,4.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,Matches
338,Bogdan Racovitan,DF,Romania,23,2000,2,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
339,Predrag Rajković,GK,Serbia,28,1995,3,3,270,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
340,Anthony Ralston,"MF,DF",Scotland,25,1998,3,3,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
341,Ylber Ramadani,MF,Albania,27,1996,3,3,264,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
342,Gonçalo Ramos,FW,Portugal,22,2001,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
343,Giacomo Raspadori,FW,Italy,23,2000,2,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
344,Andrei Ratiu,DF,Romania,25,1998,4,4,359,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
345,David Raum,DF,Germany,25,1998,3,2,166,1.8,0,1,1,0,0,0,1,0,0.0,0.54,0.54,0,0.54,Matches
346,David Raya,GK,Spain,28,1995,1,1,90,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
347,Tijjani Reijnders,MF,Netherlands,25,1998,6,6,496,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
348,Mateo Retegui,FW,Italy,24,1999,4,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
349,Declan Rice,MF,England,25,1999,7,7,690,7.7,0,1,1,0,0,0,0,0,0.0,0.13,0.13,0,0.13,Matches
350,Fabian Rieder,MF,Switzerland,21,2002,5,3,218,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
351,Andrew Robertson,"MF,DF",Scotland,29,1994,3,3,268,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
352,Rodri,MF,Spain,27,1996,6,6,520,5.8,1,0,1,1,0,0,3,0,0.17,0.0,0.17,0.17,0.17,Matches
353,Ricardo Rodríguez,DF,Switzerland,31,1992,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
354,Taras Romanchuk,MF,Poland,32,1991,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
355,Cristiano Ronaldo,FW,Portugal,38,1985,5,5,485,5.4,0,1,1,0,0,1,1,0,0.0,0.19,0.19,0,0.19,Matches
356,Antonio Rüdiger,DF,Germany,30,1993,5,5,480,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,Matches
357,Fabián Ruiz Peña,MF,Spain,27,1996,6,6,540,6,2,2,4,2,0,0,1,0,0.33,0.33,0.67,0.33,0.67,Matches
358,Adrian Rus,DF,Romania,27,1996,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
359,Marcel Sabitzer,MF,Austria,29,1994,4,4,360,4,1,0,1,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,Matches
360,Bukayo Saka,MF,England,22,2001,7,7,632,7,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Matches
361,Bartosz Salamon,DF,Poland,32,1991,1,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
362,William Saliba,DF,France,22,2001,6,6,570,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
363,Roland Sallai,MF,Hungary,26,1997,3,3,266,3,0,1,1,0,0,0,0,0,0.0,0.34,0.34,0,0.34,Matches
364,Lazar Samardzic,MF,Serbia,21,2002,2,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
365,Leroy Sané,MF,Germany,28,1996,5,2,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
366,Leo Sauer,FW,Slovakia,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
367,Gianluca Scamacca,FW,Italy,25,1999,4,3,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
368,András Schäfer,MF,Hungary,24,1999,3,3,270,3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
369,Fabian Schär,DF,Switzerland,32,1991,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
370,Patrik Schick,FW,Czechia,28,1996,2,2,127,1.4,1,0,1,1,0,0,2,0,0.71,0.0,0.71,0.71,0.71,Matches
371,Nico Schlotterbeck,DF,Germany,24,1999,2,1,120,1.3,0,1,1,0,0,0,1,0,0.0,0.75,0.75,0,0.75,Matches
372,Kasper Schmeichel,GK,Denmark,37,1986,4,4,360,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
373,Romano Schmid,MF,Austria,24,2000,4,2,145,1.6,1,0,1,1,0,0,1,0,0.62,0.0,0.62,0.62,0.62,Matches
374,Jerdy Schouten,MF,Netherlands,27,1997,6,6,500,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
375,Ivan Schranz,FW,Slovakia,30,1993,4,4,331,3.7,3,0,3,3,0,0,1,0,0.82,0.0,0.82,0.82,0.82,Matches
376,Taulant Seferi,MF,Albania,27,1996,2,1,94,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
377,Nicolas Seiwald,MF,Austria,22,2001,4,4,360,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
378,Nélson Semedo,"DF,MF",Portugal,30,1993,5,0,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
379,Benjamin Šeško,FW,Slovenia,20,2003,4,4,358,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
380,Petr Ševčík,MF,Czechia,29,1994,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
381,Stephan El Shaarawy,FW,Italy,31,1992,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
382,Lawrence Shankland,FW,Scotland,28,1995,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
383,Mykola Shaparenko,MF,Ukraine,25,1998,3,3,220,2.4,1,1,2,1,0,0,0,0,0.41,0.41,0.82,0.41,0.82,Matches
384,Xherdan Shaqiri,MF,Switzerland,32,1991,2,1,71,0.8,1,0,1,1,0,0,0,0,1.27,0.0,1.27,1.27,1.27,Matches
385,Luke Shaw,DF,England,28,1995,3,1,178,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
386,Vincent Sierro,MF,Switzerland,28,1995,4,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
387,António Silva,DF,Portugal,20,2003,2,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
388,Bernardo Silva,"MF,FW",Portugal,29,1994,4,4,420,4.7,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,Matches
389,Unai Simón,GK,Spain,26,1997,6,6,570,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
390,Xavi Simons,MF,Netherlands,20,2003,6,5,454,5,1,3,4,1,0,0,2,0,0.2,0.59,0.79,0.2,0.79,Matches
391,Michał Skóraś,MF,Poland,23,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
392,Łukasz Skorupski,GK,Poland,32,1991,1,1,90,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
393,Andreas Skov Olsen,MF,Denmark,24,1999,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
394,Milan Škriniar,DF,Slovakia,28,1995,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
395,Bartosz Slisz,MF,Poland,24,1999,2,1,110,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
396,Yann Sommer,GK,Switzerland,35,1988,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
397,Deian Sorescu,"DF,FW",Romania,26,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
398,Borna Sosa,"DF,MF",Croatia,26,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
399,Tomáš Souček,MF,Czechia,28,1995,3,3,270,3,1,0,1,1,0,0,2,0,0.33,0.0,0.33,0.33,0.33,Matches
400,Andraž Šporar,FW,Slovenia,29,1994,4,4,338,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
401,Nicolae Stanciu,MF,Romania,30,1993,4,4,353,3.9,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,Matches
402,Jindřich Staněk,GK,Czechia,27,1996,3,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
403,Josip Stanišić,DF,Croatia,23,2000,2,2,180,2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
404,Renato Steffen,"FW,MF",Switzerland,32,1991,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
405,Taras Stepanenko,MF,Ukraine,34,1989,2,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
406,Leonidas Stergiou,DF,Switzerland,21,2002,3,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
407,Petar Stojanović,MF,Slovenia,28,1995,4,4,316,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
408,John Stones,DF,England,29,1994,7,7,690,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
409,Thomas Strakosha,GK,Albania,28,1995,3,3,270,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
410,Dávid Strelec,FW,Slovakia,22,2001,4,2,182,2,0,1,1,0,0,0,0,0,0.0,0.49,0.49,0,0.49,Matches
411,Callum Styles,MF,Hungary,23,2000,1,1,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
412,Luka Sučić,FW,Croatia,21,2002,3,1,140,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
413,Heorhiy Sudakov,MF,Ukraine,21,2002,3,3,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
414,Pavel Šulc,MF,Czechia,23,2000,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
